time	cosine_lexical_tok2	cosine_lexical_tok3	condition_info	cosine_lexical_lem3	cosine_syntax_penn_tok3	cosine_syntax_penn_tok2	cosine_syntax_penn_lex2	cosine_syntax_penn_lex3	cosine_semanticL	partner_direction	cosine_lexical_lem2
0	0.57735026919	0.5	41_1-1-3.txt	0.5	0.0	0.0	0.0	0.0	0.999795970516	0>1.0	0.57735026919
1	0.0	0.0	41_1-1-3.txt	0.0	0.0	0.0	0.0	0.0	0.999019841548	1>0.0	0.0
2	0.0237893034035	0.0	41_1-1-3.txt	0.0	0.0	0.0	0.0	0.0	0.9993814463	0>1.0	0.0594732585087
3	0.0	0.0	41_1-1-3.txt	0.0	0.0	0.0	0.0	0.0	0.999714935395	1>0.0	0.0
4	0.217571317288	0.120385853086	41_1-1-3.txt	0.120385853086	0.0	0.0	0.0	0.0	0.999786759277	0>1.0	0.217571317288
5	0.0	0.0	41_1-1-3.txt	0.0	0.0	0.0	0.0	0.0	0.999260629966	1>0.0	0.0
6	0.0353996162702	0.0	41_1-1-3.txt	0.0	0.0	0.0	0.0	0.0	0.999077732414	0>1.0	0.0353996162702
7	0.0481869424652	0.0	41_1-1-3.txt	0.0	0.0	0.0	0.0	0.0	0.999459894214	1>0.0	0.0444261658319
8	0.0428746462856	0.0	41_1-1-3.txt	0.0	0.0	0.0	0.0	0.0	0.998847204823	0>1.0	0.0395284707521
9	0.140635987616	0.0	41_1-1-3.txt	0.0	0.0	0.0	0.0	0.0	0.999153454832	1>0.0	0.135581536137
10	0.0978897174488	0.025515518154	41_1-1-3.txt	0.0251259453815	0.0	0.0	0.0	0.0	0.999789338462	0>1.0	0.115343024037
11	0.0611417840516	0.0	41_1-1-3.txt	0.0	0.0	0.0	0.0	0.0	0.999441796318	1>0.0	0.0611417840516
12	0.0	0.0	41_1-1-3.txt	0.0	0.0	0.0	0.0	0.0	0.999508061511	0>1.0	0.0587220219515
13	0.0636929755298	0.0	41_1-1-3.txt	0.0	0.0	0.0	0.0	0.0	0.999889387287	1>0.0	0.0808135229794
14	0.134195657815	0.0092596562009	41_1-1-3.txt	0.0092596562009	0.0	0.0	0.0	0.0	0.999955579345	0>1.0	0.160251471616
15	0.0	0.0	41_1-1-3.txt	0.0	0.0	0.0	0.0	0.0	0.999872584492	1>0.0	0.0
16	0.0455960752588	0.0	41_1-1-3.txt	0.0	0.0	0.0	0.0	0.0	0.999623385493	0>1.0	0.0455960752588
17	0.0	0.0	41_1-1-3.txt	0.0	0.0	0.0	0.0	0.0	0.997441954728	1>0.0	0.0
