participant	content	token	lemma	tagged_token	tagged_lemma	file
0	so are we gonna	[so, are, we, on, na]	[so, be, we, on, na]	[(so, RB), (are, VBP), (we, PRP), (on, IN), (na, NNS)]	[(so, RB), (be, VB), (we, PRP), (on, IN), (na, NNS)]	5_2-0-2.txt
1	so what are our opinions on this should	[so, what, are, our, opinions, on, this, should]	[so, what, be, our, opinion, on, this, should]	[(so, RB), (what, WP), (are, VBP), (our, PRP$), (opinions, NNS), (on, IN), (this, DT), (should, MD)]	[(so, RB), (what, WP), (be, VB), (our, PRP$), (opinion, NN), (on, IN), (this, DT), (should, MD)]	5_2-0-2.txt
0	i feel as if they're gonna come at us to  with typical issues on the thing against what do we stand where do we stand do you think they should be taxed more rich americans or taxed the same or taxed less taxed less being they're instead of the main provider that they would	[i, feel, as, if, they, are, on, na, come, at, us, to, with, typical, issues, on, the, thing, against, what, do, we, stand, where, do, we, stand, do, you, think, they, should, be, taxed, more, rich, americans, or, taxed, the, same, or, taxed, less, taxed, less, being, they, are, instead, of, the, main, provider, that, they, would]	[i, feel, a, if, they, be, on, na, come, at, u, to, with, typical, issue, on, the, thing, against, what, do, we, stand, where, do, we, stand, do, you, think, they, should, be, tax, more, rich, american, or, tax, the, same, or, tax, less, taxed, less, be, they, be, instead, of, the, main, provider, that, they, would]	[(i, NN), (feel, VBP), (as, IN), (if, IN), (they, PRP), (are, VBP), (on, IN), (na, JJ), (come, VBN), (at, IN), (us, PRP), (to, TO), (with, IN), (typical, JJ), (issues, NNS), (on, IN), (the, DT), (thing, NN), (against, IN), (what, WP), (do, VBP), (we, PRP), (stand, VB), (where, WRB), (do, VB), (we, PRP), (stand, VB), (do, VBP), (you, PRP), (think, VBP), (they, PRP), (should, MD), (be, VB), (taxed, VBN), (more, JJR), (rich, JJ), (americans, NNS), (or, CC), (taxed, VBD), (the, DT), (same, JJ), (or, CC), (taxed, VBD), (less, JJR), (taxed, JJ), (less, RBR), (being, VBG), (they, PRP), (are, VBP), (instead, RB), (of, IN), (the, DT), (main, JJ), (provider, NN), (that, IN), (they, PRP), (would, MD)]	[(i, NN), (feel, VBP), (a, DT), (if, IN), (they, PRP), (be, VB), (on, IN), (na, JJ), (come, VBN), (at, IN), (u, JJ), (to, TO), (with, IN), (typical, JJ), (issue, NN), (on, IN), (the, DT), (thing, NN), (against, IN), (what, WP), (do, VBP), (we, PRP), (stand, VB), (where, WRB), (do, VB), (we, PRP), (stand, VB), (do, VBP), (you, PRP), (think, VBP), (they, PRP), (should, MD), (be, VB), (tax, NN), (more, JJR), (rich, JJ), (american, JJ), (or, CC), (tax, NN), (the, DT), (same, JJ), (or, CC), (tax, NN), (less, JJR), (taxed, JJ), (less, JJR), (be, VB), (they, PRP), (be, VB), (instead, RB), (of, IN), (the, DT), (main, JJ), (provider, NN), (that, IN), (they, PRP), (would, MD)]	5_2-0-2.txt
1	taxed the same  yea in all honesty i don't i don't think that rich americans should be taxed more	[taxed, the, same, yea, in, all, honesty, i, do, not, i, do, not, think, that, rich, americans, should, be, taxed, more]	[taxed, the, same, yea, in, all, honesty, i, do, not, i, do, not, think, that, rich, american, should, be, tax, more]	[(taxed, IN), (the, DT), (same, JJ), (yea, NN), (in, IN), (all, DT), (honesty, NN), (i, NNS), (do, VBP), (not, RB), (i, VB), (do, VBP), (not, RB), (think, VB), (that, IN), (rich, JJ), (americans, NNS), (should, MD), (be, VB), (taxed, VBN), (more, JJR)]	[(taxed, IN), (the, DT), (same, JJ), (yea, NN), (in, IN), (all, DT), (honesty, NN), (i, NNS), (do, VBP), (not, RB), (i, VB), (do, VBP), (not, RB), (think, VB), (that, IN), (rich, JJ), (american, JJ), (should, MD), (be, VB), (tax, NN), (more, JJR)]	5_2-0-2.txt
0	i firmly agree	[i, firmly, agree]	[i, firmly, agree]	[(i, NN), (firmly, RB), (agree, VBP)]	[(i, NN), (firmly, RB), (agree, VBP)]	5_2-0-2.txt
1	i i despise all notions of socialism ehh i i don't want to see a person who asks for socialism to me is like you you were in a state where ok it sucks for a lot of people in america on economic or even for other reasons when you're asking for socialism you're asking for everything to suck for everybody you're not asking for everything to be good for everybody that's a utopic hippy sort of existence but that's this is this is how i feel about it it's like no thats a step in the wrong directioneven if there are good rewards there are good arguments for socialism you're asking for short term benefits over long term benefits	[i, i, despise, all, notions, of, socialism, eh, i, i, do, not, want, to, see, a, person, who, asks, for, socialism, to, me, is, like, you, you, were, in, a, state, where, ok, it, sucks, for, a, lot, of, people, in, america, on, economic, or, even, for, other, reasons, when, you, are, asking, for, socialism, you, are, asking, for, everything, to, suck, for, everybody, you, are, not, asking, for, everything, to, be, good, for, everybody, that, is, a, topic, happy, sort, of, existence, but, that, is, this, is, this, is, how, i, feel, about, it, it, is, like, no, that, ...]	[i, i, despise, all, notion, of, socialism, eh, i, i, do, not, want, to, see, a, person, who, ask, for, socialism, to, me, be, like, you, you, be, in, a, state, where, ok, it, suck, for, a, lot, of, people, in, america, on, economic, or, even, for, other, reason, when, you, be, ask, for, socialism, you, be, ask, for, everything, to, suck, for, everybody, you, be, not, ask, for, everything, to, be, good, for, everybody, that, be, a, topic, happy, sort, of, existence, but, that, be, this, be, this, be, how, i, feel, about, it, it, be, like, no, that, ...]	[(i, NN), (i, VBP), (despise, VBP), (all, DT), (notions, NNS), (of, IN), (socialism, NN), (eh, NN), (i, NN), (i, VBP), (do, VBP), (not, RB), (want, VB), (to, TO), (see, VB), (a, DT), (person, NN), (who, WP), (asks, VBZ), (for, IN), (socialism, NN), (to, TO), (me, PRP), (is, VBZ), (like, IN), (you, PRP), (you, PRP), (were, VBD), (in, IN), (a, DT), (state, NN), (where, WRB), (ok, NN), (it, PRP), (sucks, VBZ), (for, IN), (a, DT), (lot, NN), (of, IN), (people, NNS), (in, IN), (america, NN), (on, IN), (economic, JJ), (or, CC), (even, RB), (for, IN), (other, JJ), (reasons, NNS), (when, WRB), (you, PRP), (are, VBP), (asking, VBG), (for, IN), (socialism, NN), (you, PRP), (are, VBP), (asking, VBG), (for, IN), (everything, NN), (to, TO), (suck, VB), (for, IN), (everybody, NN), (you, PRP), (are, VBP), (not, RB), (asking, VBG), (for, IN), (everything, NN), (to, TO), (be, VB), (good, JJ), (for, IN), (everybody, NN), (that, WDT), (is, VBZ), (a, DT), (topic, NN), (happy, JJ), (sort, NN), (of, IN), (existence, NN), (but, CC), (that, DT), (is, VBZ), (this, DT), (is, VBZ), (this, DT), (is, VBZ), (how, WRB), (i, JJ), (feel, VBP), (about, IN), (it, PRP), (it, PRP), (is, VBZ), (like, IN), (no, DT), (that, IN), ...]	[(i, NN), (i, VBP), (despise, VBP), (all, DT), (notion, NN), (of, IN), (socialism, NN), (eh, NN), (i, NN), (i, VBP), (do, VBP), (not, RB), (want, VB), (to, TO), (see, VB), (a, DT), (person, NN), (who, WP), (ask, VBZ), (for, IN), (socialism, NN), (to, TO), (me, PRP), (be, VB), (like, IN), (you, PRP), (you, PRP), (be, VB), (in, IN), (a, DT), (state, NN), (where, WRB), (ok, NN), (it, PRP), (suck, VBD), (for, IN), (a, DT), (lot, NN), (of, IN), (people, NNS), (in, IN), (america, NN), (on, IN), (economic, JJ), (or, CC), (even, RB), (for, IN), (other, JJ), (reason, NN), (when, WRB), (you, PRP), (be, VB), (ask, VBN), (for, IN), (socialism, NN), (you, PRP), (be, VB), (ask, VBN), (for, IN), (everything, NN), (to, TO), (suck, VB), (for, IN), (everybody, NN), (you, PRP), (be, VB), (not, RB), (ask, VB), (for, IN), (everything, NN), (to, TO), (be, VB), (good, JJ), (for, IN), (everybody, NN), (that, WDT), (be, VB), (a, DT), (topic, NN), (happy, JJ), (sort, NN), (of, IN), (existence, NN), (but, CC), (that, IN), (be, VB), (this, DT), (be, VB), (this, DT), (be, VB), (how, WRB), (i, JJ), (feel, VBP), (about, IN), (it, PRP), (it, PRP), (be, VB), (like, IN), (no, DT), (that, IN), ...]	5_2-0-2.txt
0	so far for the i think we should have three main points to have as a rebuttle to when they're if they're on the offense and they're coming to us we need to be able to respond to their issue so i think one issue socialism we could describe the negatives of socialism on that i would like i'd like to take on since you're you were stressing socialism i take on the idea of the free market and how government interfering with business isn't my favorite idea and yea my reasoning for that is 	[so, far, for, the, i, think, we, should, have, three, main, points, to, have, as, a, rebuttle, to, when, they, are, if, they, are, on, the, offense, and, they, are, coming, to, us, we, need, to, be, able, to, respond, to, their, issue, so, i, think, one, issue, socialism, we, could, describe, the, negative, of, socialism, on, that, i, would, like, i, would, like, to, take, on, since, you, are, you, were, stressing, socialism, i, take, on, the, idea, of, the, free, market, and, how, government, interfering, with, business, is, not, my, favorite, idea, and, yea, my, reasoning, for, that, ...]	[so, far, for, the, i, think, we, should, have, three, main, point, to, have, a, a, rebuttle, to, when, they, be, if, they, be, on, the, offense, and, they, be, come, to, u, we, need, to, be, able, to, respond, to, their, issue, so, i, think, one, issue, socialism, we, could, describe, the, negative, of, socialism, on, that, i, would, like, i, would, like, to, take, on, since, you, be, you, be, stress, socialism, i, take, on, the, idea, of, the, free, market, and, how, government, interfere, with, business, be, not, my, favorite, idea, and, yea, my, reason, for, that, ...]	[(so, RB), (far, RB), (for, IN), (the, DT), (i, JJ), (think, VBP), (we, PRP), (should, MD), (have, VB), (three, CD), (main, JJ), (points, NNS), (to, TO), (have, VB), (as, IN), (a, DT), (rebuttle, NN), (to, TO), (when, WRB), (they, PRP), (are, VBP), (if, IN), (they, PRP), (are, VBP), (on, IN), (the, DT), (offense, NN), (and, CC), (they, PRP), (are, VBP), (coming, VBG), (to, TO), (us, PRP), (we, PRP), (need, VBP), (to, TO), (be, VB), (able, JJ), (to, TO), (respond, VB), (to, TO), (their, PRP$), (issue, NN), (so, IN), (i, JJ), (think, VBP), (one, CD), (issue, NN), (socialism, NN), (we, PRP), (could, MD), (describe, VB), (the, DT), (negative, NN), (of, IN), (socialism, NN), (on, IN), (that, DT), (i, NN), (would, MD), (like, VB), (i, NN), (would, MD), (like, VB), (to, TO), (take, VB), (on, IN), (since, IN), (you, PRP), (are, VBP), (you, PRP), (were, VBD), (stressing, VBG), (socialism, NN), (i, NNS), (take, VBP), (on, IN), (the, DT), (idea, NN), (of, IN), (the, DT), (free, JJ), (market, NN), (and, CC), (how, WRB), (government, NN), (interfering, VBG), (with, IN), (business, NN), (is, VBZ), (not, RB), (my, PRP$), (favorite, JJ), (idea, NN), (and, CC), (yea, VB), (my, PRP$), (reasoning, VBG), (for, IN), (that, DT), ...]	[(so, RB), (far, RB), (for, IN), (the, DT), (i, JJ), (think, VBP), (we, PRP), (should, MD), (have, VB), (three, CD), (main, JJ), (point, NN), (to, TO), (have, VB), (a, DT), (a, DT), (rebuttle, NN), (to, TO), (when, WRB), (they, PRP), (be, VB), (if, IN), (they, PRP), (be, VB), (on, IN), (the, DT), (offense, NN), (and, CC), (they, PRP), (be, VB), (come, VBN), (to, TO), (u, IN), (we, PRP), (need, VBP), (to, TO), (be, VB), (able, JJ), (to, TO), (respond, VB), (to, TO), (their, PRP$), (issue, NN), (so, IN), (i, JJ), (think, VBP), (one, CD), (issue, NN), (socialism, NN), (we, PRP), (could, MD), (describe, VB), (the, DT), (negative, NN), (of, IN), (socialism, NN), (on, IN), (that, DT), (i, NN), (would, MD), (like, VB), (i, NN), (would, MD), (like, VB), (to, TO), (take, VB), (on, IN), (since, IN), (you, PRP), (be, VB), (you, PRP), (be, VB), (stress, JJ), (socialism, NN), (i, NNS), (take, VBP), (on, IN), (the, DT), (idea, NN), (of, IN), (the, DT), (free, JJ), (market, NN), (and, CC), (how, WRB), (government, NN), (interfere, RB), (with, IN), (business, NN), (be, VB), (not, RB), (my, PRP$), (favorite, JJ), (idea, NN), (and, CC), (yea, VB), (my, PRP$), (reason, NN), (for, IN), (that, DT), ...]	5_2-0-2.txt
1	it's not mine iether i don't know very much about that so i wouldn't be able to debate that	[it, is, not, mine, either, i, do, not, know, very, much, about, that, so, i, would, not, be, able, to, debate, that]	[it, be, not, mine, either, i, do, not, know, very, much, about, that, so, i, would, not, be, able, to, debate, that]	[(it, PRP), (is, VBZ), (not, RB), (mine, JJ), (either, CC), (i, JJ), (do, VBP), (not, RB), (know, VB), (very, RB), (much, JJ), (about, IN), (that, DT), (so, RB), (i, RB), (would, MD), (not, RB), (be, VB), (able, JJ), (to, TO), (debate, VB), (that, IN)]	[(it, PRP), (be, VB), (not, RB), (mine, JJ), (either, CC), (i, JJ), (do, VBP), (not, RB), (know, VB), (very, RB), (much, JJ), (about, IN), (that, DT), (so, RB), (i, RB), (would, MD), (not, RB), (be, VB), (able, JJ), (to, TO), (debate, VB), (that, IN)]	5_2-0-2.txt
0	ok i can i can  you on that i did a a paper on that in english so basically the reason why i feel they shouldn't interfere is because the more their their taxes are accumulating they're wanting to put more and more businesses for example the healthcare ben the tax they're gonna be stipending to the to the to to any tax for business its so aroundin  amazincom made it so that you had to pay an extra  tax on your packaging whatever you sold this guy made annualy  each year off of amazon in the end he made far less and he is since he was an entrepreneur he started his own business and he was forced to move from california to another state because california is known for their high level of taxes so that that hurt someones pursuit of happiness which is constitutional 	[ok, i, can, i, can, you, on, that, i, did, a, a, paper, on, that, in, english, so, basically, the, reason, why, i, feel, they, should, not, interfere, is, because, the, more, their, their, taxes, are, accumulation, they, are, wanting, to, put, more, and, more, business, for, example, the, healthcare, ben, the, tax, they, are, on, na, be, spending, to, the, to, the, to, to, any, tax, for, business, its, so, around, amazincom, made, it, so, that, you, had, to, pay, an, extra, tax, on, your, packing, whatever, you, sold, this, guy, made, annual, each, year, off, of, amazon, in, ...]	[ok, i, can, i, can, you, on, that, i, do, a, a, paper, on, that, in, english, so, basically, the, reason, why, i, feel, they, should, not, interfere, be, because, the, more, their, their, tax, be, accumulation, they, be, want, to, put, more, and, more, business, for, example, the, healthcare, ben, the, tax, they, be, on, na, be, spend, to, the, to, the, to, to, any, tax, for, business, it, so, around, amazincom, make, it, so, that, you, have, to, pay, an, extra, tax, on, your, pack, whatever, you, sell, this, guy, make, annual, each, year, off, of, amazon, in, ...]	[(ok, IN), (i, NN), (can, MD), (i, VB), (can, MD), (you, PRP), (on, IN), (that, IN), (i, NN), (did, VBD), (a, DT), (a, DT), (paper, NN), (on, IN), (that, DT), (in, IN), (english, JJ), (so, RB), (basically, RB), (the, DT), (reason, NN), (why, WRB), (i, NN), (feel, VBP), (they, PRP), (should, MD), (not, RB), (interfere, VB), (is, VBZ), (because, IN), (the, DT), (more, RBR), (their, PRP$), (their, PRP$), (taxes, NNS), (are, VBP), (accumulation, NN), (they, PRP), (are, VBP), (wanting, VBG), (to, TO), (put, VB), (more, JJR), (and, CC), (more, JJR), (business, NN), (for, IN), (example, NN), (the, DT), (healthcare, NN), (ben, VBD), (the, DT), (tax, NN), (they, PRP), (are, VBP), (on, IN), (na, NNS), (be, VB), (spending, VBG), (to, TO), (the, DT), (to, TO), (the, DT), (to, TO), (to, TO), (any, DT), (tax, NN), (for, IN), (business, NN), (its, PRP$), (so, RB), (around, IN), (amazincom, NN), (made, VBD), (it, PRP), (so, IN), (that, IN), (you, PRP), (had, VBD), (to, TO), (pay, VB), (an, DT), (extra, JJ), (tax, NN), (on, IN), (your, PRP$), (packing, VBG), (whatever, WDT), (you, PRP), (sold, VBP), (this, DT), (guy, NN), (made, VBD), (annual, JJ), (each, DT), (year, NN), (off, IN), (of, IN), (amazon, NN), (in, IN), ...]	[(ok, IN), (i, NN), (can, MD), (i, VB), (can, MD), (you, PRP), (on, IN), (that, IN), (i, NN), (do, VBP), (a, DT), (a, DT), (paper, NN), (on, IN), (that, DT), (in, IN), (english, JJ), (so, RB), (basically, RB), (the, DT), (reason, NN), (why, WRB), (i, NN), (feel, VBP), (they, PRP), (should, MD), (not, RB), (interfere, VB), (be, VB), (because, IN), (the, DT), (more, RBR), (their, PRP$), (their, PRP$), (tax, NN), (be, VB), (accumulation, NN), (they, PRP), (be, VB), (want, VBP), (to, TO), (put, VB), (more, JJR), (and, CC), (more, JJR), (business, NN), (for, IN), (example, NN), (the, DT), (healthcare, NN), (ben, VBD), (the, DT), (tax, NN), (they, PRP), (be, VB), (on, IN), (na, JJ), (be, VB), (spend, VBN), (to, TO), (the, DT), (to, TO), (the, DT), (to, TO), (to, TO), (any, DT), (tax, NN), (for, IN), (business, NN), (it, PRP), (so, RB), (around, IN), (amazincom, NNS), (make, VBP), (it, PRP), (so, IN), (that, IN), (you, PRP), (have, VBP), (to, TO), (pay, VB), (an, DT), (extra, JJ), (tax, NN), (on, IN), (your, PRP$), (pack, NN), (whatever, IN), (you, PRP), (sell, VBP), (this, DT), (guy, NN), (make, VBP), (annual, JJ), (each, DT), (year, NN), (off, IN), (of, IN), (amazon, NN), (in, IN), ...]	5_2-0-2.txt
1	i wouldn't call it a right but i would deffinitely call it a privilidge	[i, would, not, call, it, a, right, but, i, would, definitely, call, it, a, privilege]	[i, would, not, call, it, a, right, but, i, would, definitely, call, it, a, privilege]	[(i, NN), (would, MD), (not, RB), (call, VB), (it, PRP), (a, DT), (right, JJ), (but, CC), (i, JJ), (would, MD), (definitely, RB), (call, VB), (it, PRP), (a, DT), (privilege, NN)]	[(i, NN), (would, MD), (not, RB), (call, VB), (it, PRP), (a, DT), (right, JJ), (but, CC), (i, JJ), (would, MD), (definitely, RB), (call, VB), (it, PRP), (a, DT), (privilege, NN)]	5_2-0-2.txt
