participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
cgv	then i won't get you anything	[then, i, will, not, get, you, anything]	[then, i, will, not, get, you, anything]	[(then, RB), (i, NN), (will, MD), (not, RB), (get, VB), (you, PRP), (anything, NN)]	[(then, RB), (i, NN), (will, MD), (not, RB), (get, VB), (you, PRP), (anything, NN)]	[(then, RB), (i, FW), (will, MD), (not, RB), (get, VB), (you, PRP), (anything, NN)]	[(then, RB), (i, FW), (will, MD), (not, RB), (get, VB), (you, PRP), (anything, NN)]	time130-cond1.txt
kid	i'll buy lots of stuff without you and know what else i would go hit cars	[i, will, buy, lots, of, stuff, without, you, and, know, what, else, i, would, go, hit, cars]	[i, will, buy, lot, of, stuff, without, you, and, know, what, else, i, would, go, hit, car]	[(i, NN), (will, MD), (buy, VB), (lots, NNS), (of, IN), (stuff, NN), (without, IN), (you, PRP), (and, CC), (know, VB), (what, WP), (else, JJ), (i, NN), (would, MD), (go, VB), (hit, JJ), (cars, NNS)]	[(i, NN), (will, MD), (buy, VB), (lot, NN), (of, IN), (stuff, NN), (without, IN), (you, PRP), (and, CC), (know, VB), (what, WP), (else, JJ), (i, NN), (would, MD), (go, VB), (hit, JJ), (car, NN)]	[(i, LS), (will, MD), (buy, VB), (lots, NNS), (of, IN), (stuff, NN), (without, IN), (you, PRP), (and, CC), (know, VB), (what, WP), (else, RB), (i, FW), (would, MD), (go, VB), (hit, VBN), (cars, NNS)]	[(i, LS), (will, MD), (buy, VB), (lot, NN), (of, IN), (stuff, NN), (without, IN), (you, PRP), (and, CC), (know, VB), (what, WP), (else, RB), (i, FW), (would, MD), (go, VB), (hit, NN), (car, NN)]	time130-cond1.txt
cgv	you're being silly i guess i'll go upstairs	[you, are, being, silly, i, guess, i, will, go, upstairs]	[you, be, be, silly, i, guess, i, will, go, upstairs]	[(you, PRP), (are, VBP), (being, VBG), (silly, RB), (i, JJ), (guess, NN), (i, NN), (will, MD), (go, VB), (upstairs, JJ)]	[(you, PRP), (be, VB), (be, VB), (silly, JJ), (i, JJ), (guess, NN), (i, NN), (will, MD), (go, VB), (upstairs, JJ)]	[(you, PRP), (are, VBP), (being, VBG), (silly, JJ), (i, FW), (guess, NN), (i, FW), (will, MD), (go, VB), (upstairs, NN)]	[(you, PRP), (be, VB), (be, VB), (silly, JJ), (i, FW), (guess, NN), (i, FW), (will, MD), (go, VB), (upstairs, NN)]	time130-cond1.txt
kid	no you wouldn't i would step on those little people i would step on em	[no, you, would, not, i, would, step, on, those, little, people, i, would, step, on, em]	[no, you, would, not, i, would, step, on, those, little, people, i, would, step, on, em]	[(no, DT), (you, PRP), (would, MD), (not, RB), (i, VB), (would, MD), (step, VB), (on, IN), (those, DT), (little, JJ), (people, NNS), (i, VBP), (would, MD), (step, VB), (on, IN), (em, NN)]	[(no, DT), (you, PRP), (would, MD), (not, RB), (i, VB), (would, MD), (step, VB), (on, IN), (those, DT), (little, JJ), (people, NNS), (i, VBP), (would, MD), (step, VB), (on, IN), (em, NN)]	[(no, DT), (you, PRP), (would, MD), (not, RB), (i, FW), (would, MD), (step, VB), (on, IN), (those, DT), (little, JJ), (people, NNS), (i, FW), (would, MD), (step, VB), (on, IN), (em, NN)]	[(no, DT), (you, PRP), (would, MD), (not, RB), (i, FW), (would, MD), (step, VB), (on, IN), (those, DT), (little, JJ), (people, NNS), (i, FW), (would, MD), (step, VB), (on, IN), (em, NN)]	time130-cond1.txt
cgv	you're being silly	[you, are, being, silly]	[you, be, be, silly]	[(you, PRP), (are, VBP), (being, VBG), (silly, RB)]	[(you, PRP), (be, VB), (be, VB), (silly, JJ)]	[(you, PRP), (are, VBP), (being, VBG), (silly, JJ)]	[(you, PRP), (be, VB), (be, VB), (silly, JJ)]	time130-cond1.txt
kid	i'm not i'm gon ta run over em with this thing how does that sound	[i, am, not, i, am, gon, ta, run, over, em, with, this, thing, how, does, that, sound]	[i, be, not, i, be, gon, ta, run, over, em, with, this, thing, how, do, that, sound]	[(i, NN), (am, VBP), (not, RB), (i, JJ), (am, VBP), (gon, JJ), (ta, NN), (run, NN), (over, IN), (em, NN), (with, IN), (this, DT), (thing, NN), (how, WRB), (does, VBZ), (that, IN), (sound, VB)]	[(i, RB), (be, VB), (not, RB), (i, JJ), (be, VB), (gon, VBN), (ta, JJ), (run, NN), (over, IN), (em, NN), (with, IN), (this, DT), (thing, NN), (how, WRB), (do, VBP), (that, DT), (sound, NN)]	[(i, LS), (am, VBP), (not, RB), (i, FW), (am, VBP), (gon, VBG), (ta, NN), (run, NN), (over, IN), (em, NN), (with, IN), (this, DT), (thing, NN), (how, WRB), (does, VBZ), (that, IN), (sound, NN)]	[(i, LS), (be, VB), (not, RB), (i, FW), (be, VB), (gon, VBG), (ta, NN), (run, NN), (over, IN), (em, NN), (with, IN), (this, DT), (thing, NN), (how, WRB), (do, VBP), (that, DT), (sound, NN)]	time130-cond1.txt
cgv	i don't care what you say	[i, do, not, care, what, you, say]	[i, do, not, care, what, you, say]	[(i, NNS), (do, VBP), (not, RB), (care, VB), (what, WP), (you, PRP), (say, VBP)]	[(i, NNS), (do, VBP), (not, RB), (care, VB), (what, WP), (you, PRP), (say, VBP)]	[(i, LS), (do, VBP), (not, RB), (care, VB), (what, WP), (you, PRP), (say, VBP)]	[(i, LS), (do, VBP), (not, RB), (care, VB), (what, WP), (you, PRP), (say, VBP)]	time130-cond1.txt
kid	if you don't care what i say i'm gon ta knock em down i'm rolling this he doesn't look what he's doing and he goes rolling and he knocks these people down look he's standing on his head he fell down can you make him stand on his head could you make him stand on his head yeah do you want to see this roll do you want to see this roll dad where's a piece of wood this could roll down daddy do you want to see this daddy i brungedn my football inside the house and now i don't know where it is yeah if you find it i will play with you you would be on that side and i would be on that side	[if, you, do, not, care, what, i, say, i, am, gon, ta, knock, em, down, i, am, rolling, this, he, does, not, look, what, he, is, doing, and, he, goes, rolling, and, he, knocks, these, people, down, look, he, is, standing, on, his, head, he, fell, down, can, you, make, him, stand, on, his, head, could, you, make, him, stand, on, his, head, yeah, do, you, want, to, see, this, roll, do, you, want, to, see, this, roll, dad, where, is, a, piece, of, wood, this, could, roll, down, daddy, do, you, want, to, see, this, daddy, i, brungedn, my, ...]	[if, you, do, not, care, what, i, say, i, be, gon, ta, knock, em, down, i, be, roll, this, he, do, not, look, what, he, be, do, and, he, go, rolling, and, he, knock, these, people, down, look, he, be, stand, on, his, head, he, fell, down, can, you, make, him, stand, on, his, head, could, you, make, him, stand, on, his, head, yeah, do, you, want, to, see, this, roll, do, you, want, to, see, this, roll, dad, where, be, a, piece, of, wood, this, could, roll, down, daddy, do, you, want, to, see, this, daddy, i, brungedn, my, ...]	[(if, IN), (you, PRP), (do, VBP), (not, RB), (care, VB), (what, WP), (i, IN), (say, VBP), (i, JJ), (am, VBP), (gon, JJ), (ta, NN), (knock, NN), (em, VBP), (down, RP), (i, RB), (am, VBP), (rolling, VBG), (this, DT), (he, PRP), (does, VBZ), (not, RB), (look, VB), (what, WP), (he, PRP), (is, VBZ), (doing, VBG), (and, CC), (he, PRP), (goes, VBZ), (rolling, JJ), (and, CC), (he, PRP), (knocks, VBZ), (these, DT), (people, NNS), (down, RP), (look, NN), (he, PRP), (is, VBZ), (standing, VBG), (on, IN), (his, PRP$), (head, NN), (he, PRP), (fell, VBD), (down, RB), (can, MD), (you, PRP), (make, VB), (him, PRP), (stand, VB), (on, IN), (his, PRP$), (head, NN), (could, MD), (you, PRP), (make, VB), (him, PRP), (stand, VB), (on, IN), (his, PRP$), (head, NN), (yeah, RB), (do, VBP), (you, PRP), (want, VB), (to, TO), (see, VB), (this, DT), (roll, NN), (do, VBP), (you, PRP), (want, VB), (to, TO), (see, VB), (this, DT), (roll, NN), (dad, NN), (where, WRB), (is, VBZ), (a, DT), (piece, NN), (of, IN), (wood, NN), (this, DT), (could, MD), (roll, VB), (down, RP), (daddy, NNS), (do, VBP), (you, PRP), (want, VB), (to, TO), (see, VB), (this, DT), (daddy, NN), (i, NN), (brungedn, VBP), (my, PRP$), ...]	[(if, IN), (you, PRP), (do, VBP), (not, RB), (care, VB), (what, WP), (i, IN), (say, VBP), (i, JJ), (be, VB), (gon, VBN), (ta, JJ), (knock, NN), (em, VBP), (down, RP), (i, RB), (be, VB), (roll, NN), (this, DT), (he, PRP), (do, VBZ), (not, RB), (look, VB), (what, WP), (he, PRP), (be, VB), (do, JJ), (and, CC), (he, PRP), (go, VB), (rolling, JJ), (and, CC), (he, PRP), (knock, VB), (these, DT), (people, NNS), (down, RP), (look, NN), (he, PRP), (be, VB), (stand, VBN), (on, IN), (his, PRP$), (head, NN), (he, PRP), (fell, VBD), (down, RB), (can, MD), (you, PRP), (make, VB), (him, PRP), (stand, VB), (on, IN), (his, PRP$), (head, NN), (could, MD), (you, PRP), (make, VB), (him, PRP), (stand, VB), (on, IN), (his, PRP$), (head, NN), (yeah, RB), (do, VBP), (you, PRP), (want, VB), (to, TO), (see, VB), (this, DT), (roll, NN), (do, VBP), (you, PRP), (want, VB), (to, TO), (see, VB), (this, DT), (roll, NN), (dad, NN), (where, WRB), (be, VB), (a, DT), (piece, NN), (of, IN), (wood, NN), (this, DT), (could, MD), (roll, VB), (down, RP), (daddy, NNS), (do, VBP), (you, PRP), (want, VB), (to, TO), (see, VB), (this, DT), (daddy, NN), (i, NN), (brungedn, VBP), (my, PRP$), ...]	[(if, IN), (you, PRP), (do, VBP), (not, RB), (care, VB), (what, WP), (i, FW), (say, VBP), (i, FW), (am, VBP), (gon, VBG), (ta, NN), (knock, VB), (em, NN), (down, IN), (i, FW), (am, VBP), (rolling, VBG), (this, DT), (he, PRP), (does, VBZ), (not, RB), (look, VB), (what, WP), (he, PRP), (is, VBZ), (doing, VBG), (and, CC), (he, PRP), (goes, VBZ), (rolling, VBG), (and, CC), (he, PRP), (knocks, VBZ), (these, DT), (people, NNS), (down, IN), (look, NN), (he, PRP), (is, VBZ), (standing, VBG), (on, IN), (his, PRP$), (head, NN), (he, PRP), (fell, VBD), (down, RP), (can, MD), (you, PRP), (make, VB), (him, PRP), (stand, VB), (on, IN), (his, PRP$), (head, NN), (could, MD), (you, PRP), (make, VB), (him, PRP), (stand, VB), (on, IN), (his, PRP$), (head, NN), (yeah, RB), (do, VBP), (you, PRP), (want, VB), (to, TO), (see, VB), (this, DT), (roll, NN), (do, VBP), (you, PRP), (want, VB), (to, TO), (see, VB), (this, DT), (roll, NN), (dad, NN), (where, WRB), (is, VBZ), (a, DT), (piece, NN), (of, IN), (wood, NN), (this, DT), (could, MD), (roll, VB), (down, RP), (daddy, NN), (do, VBP), (you, PRP), (want, VB), (to, TO), (see, VB), (this, DT), (daddy, NN), (i, FW), (brungedn, FW), (my, PRP$), ...]	[(if, IN), (you, PRP), (do, VBP), (not, RB), (care, VB), (what, WP), (i, FW), (say, VBP), (i, FW), (be, VB), (gon, VBG), (ta, NN), (knock, VB), (em, NN), (down, IN), (i, FW), (be, VB), (roll, NN), (this, DT), (he, PRP), (do, VBP), (not, RB), (look, VB), (what, WP), (he, PRP), (be, VB), (do, VB), (and, CC), (he, PRP), (go, VB), (rolling, VBG), (and, CC), (he, PRP), (knock, VB), (these, DT), (people, NNS), (down, IN), (look, NN), (he, PRP), (be, VB), (stand, VB), (on, IN), (his, PRP$), (head, NN), (he, PRP), (fell, VBD), (down, RP), (can, MD), (you, PRP), (make, VB), (him, PRP), (stand, VB), (on, IN), (his, PRP$), (head, NN), (could, MD), (you, PRP), (make, VB), (him, PRP), (stand, VB), (on, IN), (his, PRP$), (head, NN), (yeah, RB), (do, VBP), (you, PRP), (want, VB), (to, TO), (see, VB), (this, DT), (roll, NN), (do, VBP), (you, PRP), (want, VB), (to, TO), (see, VB), (this, DT), (roll, NN), (dad, NN), (where, WRB), (be, VB), (a, DT), (piece, NN), (of, IN), (wood, NN), (this, DT), (could, MD), (roll, VB), (down, RP), (daddy, NN), (do, VBP), (you, PRP), (want, VB), (to, TO), (see, VB), (this, DT), (daddy, NN), (i, FW), (brungedn, FW), (my, PRP$), ...]	time130-cond1.txt
cgv	i would be i would be what	[i, would, be, i, would, be, what]	[i, would, be, i, would, be, what]	[(i, NN), (would, MD), (be, VB), (i, VBN), (would, MD), (be, VB), (what, WP)]	[(i, NN), (would, MD), (be, VB), (i, VBN), (would, MD), (be, VB), (what, WP)]	[(i, LS), (would, MD), (be, VB), (i, FW), (would, MD), (be, VB), (what, WP)]	[(i, LS), (would, MD), (be, VB), (i, FW), (would, MD), (be, VB), (what, WP)]	time130-cond1.txt
kid	on that side	[on, that, side]	[on, that, side]	[(on, IN), (that, DT), (side, NN)]	[(on, IN), (that, DT), (side, NN)]	[(on, IN), (that, DT), (side, NN)]	[(on, IN), (that, DT), (side, NN)]	time130-cond1.txt
